Comment,cleaned_comments
"It's so sad to see so much hate against Islam and Immigration
 More people educated themselves maybe people would understand but that's never gonna happen when we live in a world like this",it s so sad to see so much hate against islam and immigration more people educated themselves maybe people would understand but that s never gonna happen when we live in a world like this
"Easy, Nords are the masterrace of course. I’m totally not biased",easy nords are the masterrace of course i m totally not biased
yeah and that why they're very depressed and sad lol.,yeah and that why they re very depressed and sad lol
Lies,lies
the happiest places I've been to and experienced were Ghana and Bali 🌞,the happiest places i ve been to and experienced were ghana and bali
"These countries are overwhelmingly White and share a common culture. In addition, having a smaller population enables a high level of organization. This has led to a increase in happiness.

Now, look at Sweden. Its population is increasing and becoming more diverse. Opposing cultures/peoples have led to a lack of trust, which destabilized the country. This has led to a decrease in happiness.",these countries are overwhelmingly white and share a common culture in addition having a smaller population enables a high level of organization this has led to a increase in happiness now look at sweden its population is increasing and becoming more diverse opposing cultures peoples have led to a lack of trust which destabilized the country this has led to a decrease in happiness
Pravda socialist system. Capitalism? Pffff,pravda socialist system capitalism pffff
"HOWEVER!
Iceland's tax agency is extremely corrupt, the leading party, the government and our recent president is just dumb-foundedly unintelligible (Guðni). Behind the polticis and the corrupt politicians I think Iceland should get more businesses in general. That all the critique I gotta say about Iceland.",however iceland s tax agency is extremely corrupt the leading party the government and our recent president is just dumb foundedly unintelligible gu ni behind the polticis and the corrupt politicians i think iceland should get more businesses in general that all the critique i gotta say about iceland
What about huge shipping costs (especially for online shopping) and fresh produce going wilted and rotten by the time they get to the super markets? Do y'all mainly buy frozen/canned/dried goods as a result?,what about huge shipping costs especially for online shopping and fresh produce going wilted and rotten by the time they get to the super markets do y all mainly buy frozen canned dried goods as a result
I thought Japan was the first one!,i thought japan was the first one
Japan is not happy at all wtf,japan is not happy at all wtf
In Nordic countries they have this law of jante.  That is the secret to happiness. It is a mindset.,in nordic countries they have this law of jante that is the secret to happiness it is a mindset
A law of Jante? Never heard and I am  Nordic.,a law of jante never heard and i am nordic
"The Scandinavians may be happy now but in the long run some of these systems won't be working out to well, for example with all the freebies and socialist systems it drains the economy, hence the high taxes.although high taxes still aren't enough to support the nation in the long run because many people have no incentive to work if they rely on the government for everything, also allowing easy corruption.",the scandinavians may be happy now but in the long run some of these systems won t be working out to well for example with all the freebies and socialist systems it drains the economy hence the high taxes although high taxes still aren t enough to support the nation in the long run because many people have no incentive to work if they rely on the government for everything also allowing easy corruption
Says the republican. Go worship Fox News and its corrupt right wing propaganda or get educated.,says the republican go worship fox news and its corrupt right wing propaganda or get educated
"Ok, self evaluation is quite lame, people can be sad but think that in other places people are worse off, so they will check happy. Also, people can be very happy in corrupt societies, they just need to use corruption to their advantage ;) Generosity... seriously?! Stingy people can be as happy as generous ones, they just take happiness from different sources XD",ok self evaluation is quite lame people can be sad but think that in other places people are worse off so they will check happy also people can be very happy in corrupt societies they just need to use corruption to their advantage generosity seriously stingy people can be as happy as generous ones they just take happiness from different sources xd
"I think that it is just the crosses on their flags. Checkmate, atheists!",i think that it is just the crosses on their flags checkmate atheists
"Nordic Cross symbolizes Christianity, yes, but atheism is steadily rising in these countries and people don't bother practising Christianity anymore.",nordic cross symbolizes christianity yes but atheism is steadily rising in these countries and people don t bother practising christianity anymore
@@SeSmokki Little you know. There are a lot of committed Christians in these countries.,little you know there are a lot of committed christians in these countries
"The social support (not government) these countries have is due to having a largely ethnically homogeneous population with a shared history and culture. This is why the immigration crisis has been wreaking havoc in neighborhoods in nations such as Sweden. Ethnic homogeneity is never going to be possible for the United States, nor really any country in the Americas aside from maybe Canada, since all are extremely ethnically diverse. Things have changed in the US in the last 100 years. People simply don't have the same trust in their neighbors that they used to. You can see this also as a result in a growing populations. Small communities tend to be very close-knit while larger towns and cities tend to almost completely lack this factor. The trust in the government of these countries is centralized around the idea of a small community of people that have shared experience and can therefore trust each other better. This simply can't be done in the US.",the social support not government these countries have is due to having a largely ethnically homogeneous population with a shared history and culture this is why the immigration crisis has been wreaking havoc in neighborhoods in nations such as sweden ethnic homogeneity is never going to be possible for the united states nor really any country in the americas aside from maybe canada since all are extremely ethnically diverse things have changed in the us in the last 100 years people simply don t have the same trust in their neighbors that they used to you can see this also as a result in a growing populations small communities tend to be very close knit while larger towns and cities tend to almost completely lack this factor the trust in the government of these countries is centralized around the idea of a small community of people that have shared experience and can therefore trust each other better this simply can t be done in the us
Pakistan on top in all Asia...💚✊,pakistan on top in all asia
Lmao Sweden,lmao sweden
Long live swedistan,long live swedistan
hey i think u ignored canada,hey i think u ignored canada
0:46 it’s 7th,0 46 it s 7th
"According to me, a happy country is where 75% of the population is happy!",according to me a happy country is where 75 of the population is happy
Which city is that starting a 0:06?,which city is that starting a 0 06
Some chinese city,some chinese city
Ur mom,ur mom
Socialism at it’s Best 😊,socialism at it s best
Lol apparently it works very good,lol apparently it works very good
An obvious case for Bernie 2020.,an obvious case for bernie 2020
"If money can't buy happiness , then why are the richest countries the happiest ?",if money can t buy happiness then why are the richest countries the happiest
In the end money does buy happiness. Just not in a direct way,in the end money does buy happiness just not in a direct way
"A funny fact is they are not the richest countries. They are welfare countries and prosperous, but not the richest",a funny fact is they are not the richest countries they are welfare countries and prosperous but not the richest
Alex's mesmerizing eyes and nice dobonhonkeros make me happy uwu.,alex s mesmerizing eyes and nice dobonhonkeros make me happy uwu
Perv,perv
The title should be least corrupted and not happy! People in these countries commit suicide at a higher rate than even Africans so they are not happy!,the title should be least corrupted and not happy people in these countries commit suicide at a higher rate than even africans so they are not happy
"Not even The 23rd place anymore. 
Watch The video""Suicide rates in The world/Country suicide comparison rate."" 
Published 6 months ago. 62 highest suicide countries and Finland is not even mentioned. The other nordic countries are far behind from the top. 
62 highest suicide countries are: The 1st Lithuania, The 2nd Russia and The 3rd South Korea.",not even the 23rd place anymore watch the video suicide rates in the world country suicide comparison rate published 6 months ago 62 highest suicide countries and finland is not even mentioned the other nordic countries are far behind from the top 62 highest suicide countries are the 1st lithuania the 2nd russia and the 3rd south korea
Can someone explain to me what the Dystopia bar means? Couldnt really understand what the report was saying,can someone explain to me what the dystopia bar means couldnt really understand what the report was saying
Now this world has become left wing propaganda,now this world has become left wing propaganda
This is true tho,this is true tho
Not true.,not true
But those countries have very high cost of living and tax,but those countries have very high cost of living and tax
Also they have high wages!,also they have high wages
"Being happy may be quite compulsory to economy and positive effect on a country, but just think about it. If the world broke out into another world war, Who is there to save those ""happy"" countries? Norway and Denmark easily got annexed by Germany. If they had a bigger military and more money, they would've survived. America, although not happy, is amazingly powerful, patriotic and extremely grateful of it's ranking in economy, military and access to a lot of resources most countries can't access. It survived both world wars with no enemy soldier setting foot on US soil. Can these happy countries really save themselves from the dangers of nukes and fallout? Can these happy countries protect themselves from invading troops and heavy military technology pounding them on all sides?",being happy may be quite compulsory to economy and positive effect on a country but just think about it if the world broke out into another world war who is there to save those happy countries norway and denmark easily got annexed by germany if they had a bigger military and more money they would ve survived america although not happy is amazingly powerful patriotic and extremely grateful of it s ranking in economy military and access to a lot of resources most countries can t access it survived both world wars with no enemy soldier setting foot on us soil can these happy countries really save themselves from the dangers of nukes and fallout can these happy countries protect themselves from invading troops and heavy military technology pounding them on all sides
hey where can i find the national flag symbol like your dp ?,hey where can i find the national flag symbol like your dp
google images. USA countryball,google images usa countryball
Because they have NATO.,because they have nato
"Yeah yeah nordic countries, free stuff, social policies, socialism rocks right?
No
1) it’s the nordic model, not socialism 
2) the prime minister of Denmark said the country is a market economy
3) tell all of that socialism and happiness stuff to the finnish and norwegian healthcare and education systems and their 30bln$ debt each year 
4) in the US, it’s not the government who should provide healthcare and services, as its only constitutional task is to keep us safe, instead, those ervices have to be provided by the individual states (this is the constitution)
5)this video even says it! The taxation is too high, like 70% of your income high
6) those countries are basically in the mouth of Russia, when they finish Ukraine, Fennoscandia is next

And still, the most you can think of is “oh no meanie policies anti-immigration far right neo n*zi anti human anti universe white supremacists”???
The terror-disguise(burqa) ban is a blessing and so is the swedish democrats’ (not far right, just conservatives may I remind you) rise, let’s bring Sweden n°5 on the happiness list!",yeah yeah nordic countries free stuff social policies socialism rocks right no 1 it s the nordic model not socialism 2 the prime minister of denmark said the country is a market economy 3 tell all of that socialism and happiness stuff to the finnish and norwegian healthcare and education systems and their 30bln debt each year 4 in the us it s not the government who should provide healthcare and services as its only constitutional task is to keep us safe instead those ervices have to be provided by the individual states this is the constitution 5 this video even says it the taxation is too high like 70 of your income high 6 those countries are basically in the mouth of russia when they finish ukraine fennoscandia is next and still the most you can think of is oh no meanie policies anti immigration far right neo n zi anti human anti universe white supremacists the terror disguise burqa ban is a blessing and so is the swedish democrats not far right just conservatives may i remind you rise let s bring sweden n 5 on the happiness list
Let me guess. You're American ?,let me guess you re american
"Wow al-swedistan is not n°5 anymore?
*it must be white men’s fault!!!!!!!*
*these stats must’ve been done by white men*",wow al swedistan is not n 5 anymore it must be white men s fault these stats must ve been done by white men
"My idea if you want to be happy you should be thankfully.We need thinking. Is our problem realy bad. Education,thankfull and good thought are necessary for happiness.",my idea if you want to be happy you should be thankfully we need thinking is our problem realy bad education thankfull and good thought are necessary for happiness
"Sure, Swiss people are happy. As long as they see no germans.",sure swiss people are happy as long as they see no germans
*i hate my Country!*,i hate my country
"This senses is rigged !!!! I thought BHUTAN was the happiest country in the world ,this channel most times shows rigged information about countries,like rigged censes,GDP,maps of countries,reality of the situation ,etc. This is totally a propaganda!!!!!!!!!",this senses is rigged i thought bhutan was the happiest country in the world this channel most times shows rigged information about countries like rigged censes gdp maps of countries reality of the situation etc this is totally a propaganda
"You man need to get out of your bubble. It’s time to realize that you’re not the center of the world. I can bet my life savings you haven’t made any research about this. It’s about time someone tells you this, *your thoughts doesn’t equal facts*",you man need to get out of your bubble it s time to realize that you re not the center of the world i can bet my life savings you haven t made any research about this it s about time someone tells you this your thoughts doesn t equal facts
Why does Finland have one of the highest suicide rates?,why does finland have one of the highest suicide rates
"Suicide rate by country ( both sexes ) ( ranking in parentesis ): Finland (32), USA (34), Iceland (40), Sweden (51), Norway (74), Denmark (89). The only Nordic country worse than the USA is Finland and the difference between the two coiuntries is not big. The rest of they countries far much much better than the USA.",suicide rate by country both sexes ranking in parentesis finland 32 usa 34 iceland 40 sweden 51 norway 74 denmark 89 the only nordic country worse than the usa is finland and the difference between the two coiuntries is not big the rest of they countries far much much better than the usa
"Watch The video ""Suicide rates in The world/Country suicide comparison rate.""
Published 6 months ago. 62 highest suicide countries and Finland is not even mentioned. 
The highest suicide countries are:
The 1st Lithuania
The 2nd Russia
The 3rd South Korea 
We are not living in The 90's anymore",watch the video suicide rates in the world country suicide comparison rate published 6 months ago 62 highest suicide countries and finland is not even mentioned the highest suicide countries are the 1st lithuania the 2nd russia the 3rd south korea we are not living in the 90 s anymore
"Lol small population under 50 million, majority white and dependent on other countries for exports......",lol small population under 50 million majority white and dependent on other countries for exports
"@@Cta2006 only around 38% Sweden Iceland Norway, and,Denmark are at 90%....",only around 38 sweden iceland norway and denmark are at 90
"Since is going to be one big family in heaven and we share a temporary journey on this earth and all families of the earth believers contribute to that, this what will work best:



‪10% of personal tax goes to churches. 20% for businesses per each transaction goes to State. 90% of the 10% goes to families. Families to show 50h work on their tax weekly.  capital gains removed. That will increase jobs 100%. Churches provide free education for children K-12. STATE- INFRASTRUCTURE. ‬",since is going to be one big family in heaven and we share a temporary journey on this earth and all families of the earth believers contribute to that this what will work best 10 of personal tax goes to churches 20 for businesses per each transaction goes to state 90 of the 10 goes to families families to show 50h work on their tax weekly capital gains removed that will increase jobs 100 churches provide free education for children k 12 state infrastructure
Scandinavians for d win. 👌👌,scandinavians for d win
OMG! The comments 😒...,omg the comments
The unhappiest places is on here,the unhappiest places is on here
"I'm from Norway. The country works great for the most part. There's a lot of variables that affect the performance of our country but one of the key aspects to our high standard of living is our ability to distribute wealth very well across social classes. There's very few extremely rich people living in Norway, but there's also very few poor or homeless people. This is due to our decisions to make sure that everyone will benefit from our country's wealth and not just a few people at the top. This could be done on a global scale, but hasn't been done because some people will never be satisfied. 1% of the world's population controls  around 90% of the world's resources. We have enough for everyone's needs but not enough for everyone's greed.",i m from norway the country works great for the most part there s a lot of variables that affect the performance of our country but one of the key aspects to our high standard of living is our ability to distribute wealth very well across social classes there s very few extremely rich people living in norway but there s also very few poor or homeless people this is due to our decisions to make sure that everyone will benefit from our country s wealth and not just a few people at the top this could be done on a global scale but hasn t been done because some people will never be satisfied 1 of the world s population controls around 90 of the world s resources we have enough for everyone s needs but not enough for everyone s greed
"@Pan-European National Conservative  Norway is not led by any Christian party. Norway is a secular state with democratic government. What ""things"" exactly is it that I'm proposing that you're saying will not work?",european national conservative norway is not led by any christian party norway is a secular state with democratic government what things exactly is it that i m proposing that you re saying will not work
"@Pan-European National Conservative  Regardless of religion or Government Model, can you provide some more insight into why I'm wrong about what I said in my initial post?",european national conservative regardless of religion or government model can you provide some more insight into why i m wrong about what i said in my initial post
@Pan-European National Conservative  where are you getting your facts from? Norway is secular. We have no state church.,european national conservative where are you getting your facts from norway is secular we have no state church
"@Pan-European National Conservative  I see what you're saying but I don't agree. You're correct that it's harder to become ""extremely"" wealthy in Norway but it's not because of our economic environment, it's because of how our tax systems are designed. We have very high taxes and the reason for this is because we have created a system that focuses on distributing wealth and minimizing gaps between social classes. Some of the benefits of this is universal health care and education. Did you know that you can get an education up to PhD level in Norway for free? 

We also have some of the best maturity leave in the world for both men and women, the list goes on. I could literally write a book about this. 

The point I'm trying to make here is that Norway and the Scandinavian countries enjoy a very high standard of living compared to most other countries around the world and it is my belief that other countries could copy what we do if they learned from what we have done.",european national conservative i see what you re saying but i don t agree you re correct that it s harder to become extremely wealthy in norway but it s not because of our economic environment it s because of how our tax systems are designed we have very high taxes and the reason for this is because we have created a system that focuses on distributing wealth and minimizing gaps between social classes some of the benefits of this is universal health care and education did you know that you can get an education up to phd level in norway for free we also have some of the best maturity leave in the world for both men and women the list goes on i could literally write a book about this the point i m trying to make here is that norway and the scandinavian countries enjoy a very high standard of living compared to most other countries around the world and it is my belief that other countries could copy what we do if they learned from what we have done
@Pan-European National Conservative I guess we will have to agree to disagree. Thank you for your input. I enjoy hearing other people's perspectives.,european national conservative i guess we will have to agree to disagree thank you for your input i enjoy hearing other people s perspectives
"Stem Frp, min venn!",stem frp min venn
Robert Lura lol looks like you’re having a conversation with your self but the person tou were arguring with just deleted his messages,robert lura lol looks like you re having a conversation with your self but the person tou were arguring with just deleted his messages
"@@vegardarntzen8031 Stem på forbryter partiet  FrP,  Hvor mange har blitt kastet ut av regjeringen nå.",stem p forbryter partiet frp hvor mange har blitt kastet ut av regjeringen n
May I remind you that most people in Norway are in that richest 1% of the world. Greetings from Finland,may i remind you that most people in norway are in that richest 1 of the world greetings from finland
"@@tooperupsutin69 
I have heard that, but since our prices 
are very high, I am not so sure. 
I believe it is more that we are rich together.
And money is only money. 
You have a better school.
Congratulation, perhaps you could have,
rescued me from a not happy school life



I feel we were much more happy 
before we found Oil. 
I have lived well on $1 dollar a day in Paris and felt ,really alive. So I've never been very concerned about money.
All we own we have to carry on our shoulders.
To me  money lulls us down and our abilities and vitality are removed.
Greetings from Norway.",i have heard that but since our prices are very high i am not so sure i believe it is more that we are rich together and money is only money you have a better school congratulation perhaps you could have rescued me from a not happy school life i feel we were much more happy before we found oil i have lived well on 1 dollar a day in paris and felt really alive so i ve never been very concerned about money all we own we have to carry on our shoulders to me money lulls us down and our abilities and vitality are removed greetings from norway
"it's not just about that, you are wealthy countries, with good climate, those two are the basic of security. you feel secure that's it, on the other hand, all poor countries are miserable, all wealthy countries with harsh environment are corrupt.",it s not just about that you are wealthy countries with good climate those two are the basic of security you feel secure that s it on the other hand all poor countries are miserable all wealthy countries with harsh environment are corrupt
"now you are making yourself the most morally correct people on earth, some of the rest, don't necessarly buy this, because we don't have the same tools, not now, nor in the future, so, we subscribe to other vision of the future, as rational being, like in game theory you should move on with what you are and choose the best option, whatever competitors. and that chick saying we are living the american dream, I congratulate her for that.",now you are making yourself the most morally correct people on earth some of the rest don t necessarly buy this because we don t have the same tools not now nor in the future so we subscribe to other vision of the future as rational being like in game theory you should move on with what you are and choose the best option whatever competitors and that chick saying we are living the american dream i congratulate her for that
"@@aben8763  
You say you don`t have the same tools,
but even poor countries have this. 
You don`t want to pay tax, but as soon
as you work in an European country,
and see how tax works, you get very ""positive"" to tax.


And something like Universal Health Care is cheaper than US Health Care. See video.
Don`t you  think it is a shame that the 
worlds richest nation, are almost without benefits for its workers.


All other countries have at least 4 weeks Paid Vacation, Maternity leave, Free Health Care etc . etc
And many Americans are against this.
They believe we ( The rest of the world)
don`t deserve this. Even if it is the Norm in the world.We deserve this and so do the Americans.


They are proud of their companies which 
pay as little as possible, to the state and 
workers. 
Amazon the richest company in the world,
did not pay tax last year.
And will change most of the workers 
with Robots.


3 Videos:
 The real reason American health care is so expensive


Michael Moore Where to Invade Next - Germany


أين الغزو القادم",you say you don t have the same tools but even poor countries have this you don t want to pay tax but as soon as you work in an european country and see how tax works you get very positive to tax and something like universal health care is cheaper than us health care see video don t you think it is a shame that the worlds richest nation are almost without benefits for its workers all other countries have at least 4 weeks paid vacation maternity leave free health care etc etc and many americans are against this they believe we the rest of the world don t deserve this even if it is the norm in the world we deserve this and so do the americans they are proud of their companies which pay as little as possible to the state and workers amazon the richest company in the world did not pay tax last year and will change most of the workers with robots 3 videos the real reason american health care is so expensive michael moore where to invade next germany
"@@aben8763 
""All wealthy countries with harsh environment are corrupt.""


Sorry we are not corrupt, we have a very transparent society. We can see what everyone in Norway earns, pay in tax, have in banks etc

We had a ""Pakistani"" politician who was taken half a year ago. He had fake travel bills of $ 30 000 for a year. 
He was in all the news, TV etc for many months. And had to answer why, etc
And he was  removed. 
And I am not more morally correct person than any Nordic citizen. We all have a high moral.


Video:
Norwegian culture vs American culture",all wealthy countries with harsh environment are corrupt sorry we are not corrupt we have a very transparent society we can see what everyone in norway earns pay in tax have in banks etc we had a pakistani politician who was taken half a year ago he had fake travel bills of 30 000 for a year he was in all the news tv etc for many months and had to answer why etc and he was removed and i am not more morally correct person than any nordic citizen we all have a high moral video norwegian culture vs american culture
"@@sveingeraldhansen7275 Thank you for considering me an American, while I am not, that is comprehensible, because I talked about the US. If I would choose where I am going to live weather in the US or in Norway, I will choose the US. When I said you think you are the most moral countries, that is because I don't like the type of outspoken people all doing is saying life is just rainbows,  by the way, I pay a quarter or more of my salary as a tax in France, and I don't believe you saying that Americans don't want to pay taxes, if you are talking about the average Joe, would you refer me to a study ? """"And I am not more morally correct person than any Nordic citizen. We all have a high moral."""" you guys really really need to sit down and think twice for outspoken how moral you are, because this is hard to hear and bear. the speech of Greta is the exact image that will stick with you for the next dozens of years.",thank you for considering me an american while i am not that is comprehensible because i talked about the us if i would choose where i am going to live weather in the us or in norway i will choose the us when i said you think you are the most moral countries that is because i don t like the type of outspoken people all doing is saying life is just rainbows by the way i pay a quarter or more of my salary as a tax in france and i don t believe you saying that americans don t want to pay taxes if you are talking about the average joe would you refer me to a study and i am not more morally correct person than any nordic citizen we all have a high moral you guys really really need to sit down and think twice for outspoken how moral you are because this is hard to hear and bear the speech of greta is the exact image that will stick with you for the next dozens of years
"by the way, I am not a devilish person, I want happiness to everyone, I just don't share your exact views,",by the way i am not a devilish person i want happiness to everyone i just don t share your exact views
"@@aben8763
I don't think you should take it as a compliment.
To me the US people seem to be a little under educated.
And being deceived throughout life by governing forces, and the right side. 


US is a  Country with almost none
benefits, 
They don`t have Free Health Care, 
62% don`t go to Doctors because they are afraid of high bills or even Bankruptcy. 
And 32% don`t even have Insurance.
If you change job you loose your 
Health Care.
And America is one of only 3 countries 
Without MATERNITY LEAVE IN THE WORLD.
And no Vacation by law. 
No Free Schools,
but you can work, if you can get a job, 
they have much longer time on work than we do. And you can live on the street.


But If you are not a worker you might do fine.


When you look at the election system,
so created The founding fathers a buffer between the population and the selection of a President. The founding fathers could not trust ordinary people  to choose a President. And they have Gerrymandering.


It would take a constitutional amendment ratified by 3/4 of states to change the system. It is hard to imagine the smaller states agreeing. One way of modifying the system is to eliminate the winner take all part of it. The method that the states vote for the electoral college is not mandated by the constitution but is decided by the states. Two states do not use the winner take all system, Maine and Nebraska. 
It would be difficult but not impossible to get other states to change their systems. Unfortunately, the party that has the advantage in the state is unlikely to agree to a unilateral change. 


There are ongoing attempts to change the system, but few expect them to be successful any time soon.",i don t think you should take it as a compliment to me the us people seem to be a little under educated and being deceived throughout life by governing forces and the right side us is a country with almost none benefits they don t have free health care 62 don t go to doctors because they are afraid of high bills or even bankruptcy and 32 don t even have insurance if you change job you loose your health care and america is one of only 3 countries without maternity leave in the world and no vacation by law no free schools but you can work if you can get a job they have much longer time on work than we do and you can live on the street but if you are not a worker you might do fine when you look at the election system so created the founding fathers a buffer between the population and the selection of a president the founding fathers could not trust ordinary people to choose a president and they have gerrymandering it would take a constitutional amendment ratified by 3 4 of states to change the system it is hard to imagine the smaller states agreeing one way of modifying the system is to eliminate the winner take all part of it the method that the states vote for the electoral college is not mandated by the constitution but is decided by the states two states do not use the winner take all system maine and nebraska it would be difficult but not impossible to get other states to change their systems unfortunately the party that has the advantage in the state is unlikely to agree to a unilateral change there are ongoing attempts to change the system but few expect them to be successful any time soon
"@@aben8763 
What is it you don`t share with me?",what is it you don t share with me
"@@aben8763 
I have lived on $1 a day in Paris, and Barcelona. My life has not been without my  thorns.And I am not wealthy, on the contrary. That is why I want the Americans 
to wake up.",i have lived on 1 a day in paris and barcelona my life has not been without my thorns and i am not wealthy on the contrary that is why i want the americans to wake up
"@@JM-oi9pk  
I hope it will, we see small improvements that people gets more kind.
We have fewer poor people than before. 
So the world goes the right way, but very slowly.
First, people need food and water, 
so ordinary things,
when things are covered then they will demand more freedom etc.
So it comes when we are developed enough.",oi9pk i hope it will we see small improvements that people gets more kind we have fewer poor people than before so the world goes the right way but very slowly first people need food and water so ordinary things when things are covered then they will demand more freedom etc so it comes when we are developed enough
"@@JM-oi9pk  
I don`t know, but I worked with Blind 
people , and they get money from the 
government. 
But work free for the company. 
And I see lots of people working
after they reach retirement. 
So there is something some people need.


But If you look around you , 
what do you see, automatication. 
How long do you see we will work.
Look 100- 500 years forwards, 
do any one work ?


We try already ""Borgerlønn"" in Europe, 
it is the same as retire salary.


But I am not a fortune teller .


You Can Read ""Martinus kosmologi""
he will know. Good Luck.",oi9pk i don t know but i worked with blind people and they get money from the government but work free for the company and i see lots of people working after they reach retirement so there is something some people need but if you look around you what do you see automatication how long do you see we will work look 100 500 years forwards do any one work we try already borgerl nn in europe it is the same as retire salary but i am not a fortune teller you can read martinus kosmologi he will know good luck
"@@JM-oi9pk 
I have not read this but heard about it.
""Martinnius Kosmologi.""



Video:


Symbol no. 75. The Destruction of a Human Being's Talent Kernels - Ole Therkelsen",oi9pk i have not read this but heard about it martinnius kosmologi video symbol no 75 the destruction of a human being s talent kernels ole therkelsen
"@@JM-oi9pk 
I have not read this, but this is interesting, 
I am not really Christian but...


Video:
Ole Therkelsen speech on ""The Role of Spirituality in Modern Society""",oi9pk i have not read this but this is interesting i am not really christian but video ole therkelsen speech on the role of spirituality in modern society
Im from Finland,im from finland
I'm norwegian too🇳🇴,i m norwegian too
"Very well written.  I visited most of the Nordic countries last year and now live in Ireland.  There was a book written that I read called ""Viking Economics'.  It did a good job explaining to an American audience why the Nordic countries have been so successful.  I don't intend on returning to the US.  We lost our way 20+ years ago and it will take 30-50 years to recover - if that is even possible.",very well written i visited most of the nordic countries last year and now live in ireland there was a book written that i read called viking economics it did a good job explaining to an american audience why the nordic countries have been so successful i don t intend on returning to the us we lost our way 20 years ago and it will take 30 50 years to recover if that is even possible
Excellent,excellent
Agreed,agreed
@@JM-oi9pk people controlled by their own fear.,oi9pk people controlled by their own fear
"@@KP-ik2wf Finland was ranked also The best country 2019 by world economic Forum conference in Switzerland Davos. Why? You can google it. The list is long. 
Also now ranked The 4th Time The happiest country 2021 by world happines index report.",ik2wf finland was ranked also the best country 2019 by world economic forum conference in switzerland davos why you can google it the list is long also now ranked the 4th time the happiest country 2021 by world happines index report
"I honestly wish I made enough money to move to Norway. I've been so fascinated by your country and even more so when I learned how happy you and your people are. And to be honest, I would GLADLY pay more taxes if it meant I had a more comfortable way of living, and could be happy with the outcomes. I do sincerely hope to visit Norway someday as I've always wanted to go and see and experience all Norway has to offer",i honestly wish i made enough money to move to norway i ve been so fascinated by your country and even more so when i learned how happy you and your people are and to be honest i would gladly pay more taxes if it meant i had a more comfortable way of living and could be happy with the outcomes i do sincerely hope to visit norway someday as i ve always wanted to go and see and experience all norway has to offer
Norveska je jezuitska drzava i u njoj se lose zivi.,norveska je jezuitska drzava i u njoj se lose zivi
Norway has the oil,norway has the oil
"Arab Countries are the wealthiest Nation's in World ,even Single among them didnt appeared on List",arab countries are the wealthiest nation s in world even single among them didnt appeared on list
"No, cuz the cap between the poor ppl and rich ppl is too high.",no cuz the cap between the poor ppl and rich ppl is too high
This is fake Bhutan is the happiest country in the world,this is fake bhutan is the happiest country in the world
Still no facts..,still no facts
It is the happiest country in Asia.,it is the happiest country in asia
Because .. Thor,because thor
i guess happy countries live in snowy altitude countries in either north or south hemisphere,i guess happy countries live in snowy altitude countries in either north or south hemisphere
The argument on the right would be that such systems only work because Nordic countries are more racially and culturally homogenous. What they mean to say is “I don’t want my taxes benefitting those who don’t look like me—that’s theft”.,the argument on the right would be that such systems only work because nordic countries are more racially and culturally homogenous what they mean to say is i don t want my taxes benefitting those who don t look like me that s theft
New Zealand has been on the top 10 for several years but also has one of the highest youth suicide rates in the world. How do these 2 metrics coincide?,new zealand has been on the top 10 for several years but also has one of the highest youth suicide rates in the world how do these 2 metrics coincide
"*Immigration* is the reason of all problems in Europe, if it wasn't for immigration, Sweden, France, UK, Germany would all be safe, rich and happy nations, with almost no crime. But thanks to *immigration* now Europe is divided, the EU is gonna collapsed, there are no-go zones everywhere, the UK voted to leave the EU, there have been many terrorist attacks killing more than 500 Europeans, etc. Can you imagine if Europe didn't have immigration? It would be like heaven...",immigration is the reason of all problems in europe if it wasn t for immigration sweden france uk germany would all be safe rich and happy nations with almost no crime but thanks to immigration now europe is divided the eu is gonna collapsed there are no go zones everywhere the uk voted to leave the eu there have been many terrorist attacks killing more than 500 europeans etc can you imagine if europe didn t have immigration it would be like heaven
What fantasy are you living in and the comments above me Russia isnt a part of Europe,what fantasy are you living in and the comments above me russia isnt a part of europe
Free services? Cause I bet the doctors professors and others work for “free” stop calling them “free”,free services cause i bet the doctors professors and others work for free stop calling them free
"Elettiinpä ennenkin, kun ojan varres oltiin torille saatana",elettiinp ennenkin kun ojan varres oltiin torille saatana
theeeek,theeeek
They steal money from hard working people about 70% of your salary and distribute it to stupid and lazy people for free who sit on their butts all day doing nothing but have kids and get paid for it.,they steal money from hard working people about 70 of your salary and distribute it to stupid and lazy people for free who sit on their butts all day doing nothing but have kids and get paid for it
They just give free money to people for doing nothing.,they just give free money to people for doing nothing
Lol how exactly?,lol how exactly
I was questioning that measuring happiness was hedonic (happiness for pleasure) and it was lacking eudaimonic (meaningful happiness) being.,i was questioning that measuring happiness was hedonic happiness for pleasure and it was lacking eudaimonic meaningful happiness being
"Less Islam, more happiness and freedom.",less islam more happiness and freedom
5:22 whats wrong with that,5 22 whats wrong with that
I'm kinda surprised Canada is number 7.. I'm drowning in student debt lol,i m kinda surprised canada is number 7 i m drowning in student debt lol
only those with many $$$$$  can actually afford  an education.,only those with many can actually afford an education
Saudi national day🇸🇦💚.,saudi national day
In my country. Not in next 50 years,in my country not in next 50 years
How to be happy when someone like Trump rules the world 😭,how to be happy when someone like trump rules the world
You are very stupid,you are very stupid
Are u watching America. Socialism with its free Health care and education makes u happiest people on earth.,are u watching america socialism with its free health care and education makes u happiest people on earth
